TIME,17m,17f,22m,22f,27m,27f,32m,32f
12:54,,,,,,,,
13:00,100,,100,,,,,
13:06,99,,99,,,,,
13:12,97,,98,,,,,
13:18,96,,97,,100,,100,
13:24,94,,96,,99,,99,
13:30,93,,94,,98,,98,
13:36,92,,93,,97,,97,
13:42,80,,92,,96,,96,
13:48,89,,91,,95,,95,
13:54,88,,90,,94,,95,
14:00,86,,89,,92,,94,
14:06,85,,88,,91,,93,
14:12,83,,87,,90,,92,
14:18,82,,86,,89,,91,
14:24,81,,84,,88,,90,
14:30,79,,83,,87,,89,
14:36,78,,82,,86,,88,
14:42,77,,81,,85,,87,
14:48,75,,80,,84,,86,
14:54,74,,79,,83,,85,
15:00,72,,78,,82,,85,
15:06,71,,77,,81,,84,
15:12,70,,76,,79,,83,
15:18,68,,74,,78,,82,
15:24,67,,73,,77,,81,
15:30,66,,72,,76,,80,
15:36,64,100,71,100,75,,79,
15:42,63,99,70,99,74,,78,
15:48,61,98,69,98,73,100,77,
15:54,60,96,64,97,72,99,76,100
16:00,59,95,67,96,71,98,75,99
16:06,57,94,66,95,70,97,75,99
16:12,56,93,64,94,69,97,74,98
16:18,54,92,63,93,68,96,73,97
16:24,53,90,62,92,66,95,72,97
16:30,52,89,61,91,65,94,71,96
16:36,50,88,60,90,64,93,70,95
16:42,,87,59,89,63,92,69,94
16:48,,84,58,88,62,91,68,94
16:54,,83,57,87,61,91,67,93
17:00,,82,56,86,60,90,66,92
17:06,,81,54,85,59,89,65,92
17:12,,79,53,84,58,88,65,91
17:18,,78,52,83,57,87,64,90
17:24,,77,51,82,56,86,63,90
17:30,,76,50,81,55,86,62,89
17:36,,75,,80,54,85,61,88
17:42,,73,,79,53,84,60,88
17:48,,72,,78,52,83,59,87
17:54,,71,,77,51,82,58,86
18:00,,70,,76,50,81,57,86
18:06,,68,,75,,80,56,85
18:12,,67,,74,,80,55,84
18:18,,66,,73,,79,55,83
18:24,,65,,72,,78,54,83
18:30,,64,,71,,77,53,82
18:36,,62,,70,,76,52,81
18:42,,61,,69,,75,51,81
18:48,,60,,68,,74,50,80
18:54,,59,,67,,74,,79
19:00,,58,,66,,73,,79
19:06,,56,,65,,72,,78
19:12,,55,,64,,71,,77
19:18,,54,,63,,70,,77
19:24,,53,,62,,69,,76
19:30,,52,,61,,69,,75
19:36,,50,,60,,68,,74
19:42,,,,59,,67,,74
19:48,,,,58,,66,,73
19:54,,,,57,,65,,72
20:00,,,,56,,64,,72
20:06,,,,55,,63,,71
20:12,,,,54,,63,,70
20:18,,,,52,,62,,70
20:24,,,,51,,61,,69
20:30,,,,50,,60,,68
20:36,,,,,,59,,68
20:42,,,,,,58,,67
20:48,,,,,,57,,66
20:54,,,,,,57,,66
21:00,,,,,,56,,65
21:06,,,,,,55,,64
21:18,,,,,,54,,63
21:24,,,,,,53,,63
21:30,,,,,,52,,62
21:36,,,,,,51,,61
21:42,,,,,,51,,61
21:48,,,,,,50,,60
21:54,,,,,,,,59
22:00,,,,,,,,59
22:06,,,,,,,,58
22:12,,,,,,,,57
22:18,,,,,,,,57
22:24,,,,,,,,56
22:30,,,,,,,,55
22:36,,,,,,,,54
22:42,,,,,,,,53
22:48,,,,,,,,52
22:54,,,,,,,,51
23:00,,,,,,,,51
23:06,,,,,,,,50
