Reps,17m,17f,22m,22f,27m,27f,32m,32f
77,,,,,100,,,
76,,,,,99,,,
75,,,100,,98,,100,
74,,,99,,97,,99,
73,,,98,,96,,98,
72,,,97,,95,,97,
71,100,,95,,94,,96,
70,99,,94,,93,,95,
69,97,,93,,92,,94,
68,96,,92,,91,,93,
67,94,,91,,89,,92,
66,93,,90,,88,,91,
65,92,,89,,87,,90,
64,90,,87,,86,,89,
63,89,,86,,85,,88,
62,88,,85,,84,,87,
61,86,,84,,83,,86,
60,85,,83,,82,,85,
59,83,,82,,81,,84,
58,82,,81,,80,,83,
57,81,,79,,79,,82,
56,79,,78,,78,,81,
55,78,,77,,77,,79,
54,77,,76,,76,,78,
53,75,,75,,75,,77,
52,74,,74,,74,,76,
51,72,,73,,73,,75,
50,71,,71,,72,100,74,
49,70,,70,,71,99,73,
48,86,,69,,69,98,72,
47,67,,68,,68,96,71,
46,66,,67,100,67,95,70,
45,64,,66,99,66,94,69,100
44,63,,65,97,65,93,68,99
43,61,,63,96,64,82,67,97
42,60,100,62,94,63,90,66,96
41,59,96,61,93,62,89,65,95
40,57,97,60,92,61,88,64,93
39,56,95,59,90,60,87,63,92
38,54,93,58,89,59,85,62,91
37,53,91,57,88,58,84,61,89
36,52,90,55,86,57,83,60,88
35,50,88,54,85,56,82,59,87
34,,86,53,83,55,81,58,85
33,,84,52,82,54,79,57,84
32,,83,51,81,53,78,56,83
31,,81,50,79,52,77,55,81
30,,79,,78,50,76,54,80
29,,77,,77,,75,53,79
28,,76,,75,,73,52,77
27,,74,,74,,72,51,76
26,,72,,72,,71,50,75
25,,70,,71,,70,,73
24,,69,,70,,68,,72
23,,67,,68,,67,,71
22,,65,,67,,66,,69
21,,63,,66,,65,,68
20,,62,,64,,64,,67
19,,60,,63,,62,,65
18,,58,,61,,61,,64
17,,57,,60,,60,,63
16,,55,,59,,59,,61
15,,53,,57,,58,,60
