REPS,17mf,22mf,27mf,32mf
82,,,100,
81,,,99,
80,,100,98,
79,,99,97,
78,100,97,96,
77,98,96,95,
76,97,95,94,100
75,95,93,92,99
74,94,92,91,98
73,92,91,90,96
72,90,89,89,95
71,89,88,88,94
70,87,87,87,93
69,86,85,86,92
68,84,84,85,91
67,82,83,84,89
66,81,81,83,88
65,79,80,82,87
64,78,79,81,86
63,76,77,79,85
62,74,76,78,84
61,73,75,77,82
60,71,73,76,81
59,70,72,75,80
58,68,71,74,79
57,66,69,73,78
56,65,68,72,76
55,63,67,71,75
54,62,65,70,74
53,60,64,69,73
52,58,63,68,72
51,57,61,66,71
50,55,60,65,69
49,54,59,64,68
48,52,57,63,67
47,50,56,62,66
46,,55,61,65
45,,53,60,64
44,,52,59,62
43,,50,58,61
42,,,57,60
41,,,56,59
40,,,55,58
39,,,54,56
38,,,52,55
37,,,51,54
36,,,50,53
35,,,,52
